Sequence	Order	Mode	Type	Name
1	1	Drop	Procedure	[Google].[ImportUser]
2	2	Drop	Procedure	[Google].[ProcessGroupMembershipChanges]
3	3	Drop	Procedure	[Google].[ImportOrganizationalUnit]
4	4	Drop	Procedure	[Google].[ImportGroup]
5	5	Drop	Function	[Google].[GetE164PhoneNumber]
6	6	Drop	Function	[Google].[GetDigitsOnly]
7	7	Drop	Table	[Google].[UserPhone]
8	8	Drop	Table	[Google].[UserOrganization]
9	9	Drop	Table	[Google].[UserLanguage]
10	10	Drop	Table	[Google].[UserExternalIdentifier]
11	11	Drop	Table	[Google].[UserEmail]
12	12	Drop	Table	[Google].[UserAddress]
13	13	Drop	Table	[Google].[GroupMembershipUser]
14	14	Drop	Table	[Google].[User]
15	15	Drop	Table	[Google].[GroupMembershipGroup]
16	16	Drop	Table	[Google].[GroupEmail]
17	17	Drop	Table	[Google].[StagedGroupMembership]
18	18	Drop	Table	[Google].[PhoneType]
19	19	Drop	Table	[Google].[OrganizationType]
20	20	Drop	Table	[Google].[OrganizationalUnit]
21	21	Drop	Table	[Google].[Language]
22	22	Drop	Table	[Google].[GroupMemberRole]
23	23	Drop	Table	[Google].[Group]
24	24	Drop	Table	[Google].[ExternalIdentifierType]
25	25	Drop	Table	[Google].[EmailType]
26	26	Drop	Table	[Google].[AddressType]
27	1	Create	Table	[Google].[AddressType]
28	2	Create	Table	[Google].[EmailType]
29	3	Create	Table	[Google].[ExternalIdentifierType]
30	4	Create	Table	[Google].[Group]
31	5	Create	Table	[Google].[GroupMemberRole]
32	6	Create	Table	[Google].[Language]
33	7	Create	Table	[Google].[OrganizationalUnit]
34	8	Create	Table	[Google].[OrganizationType]
35	9	Create	Table	[Google].[PhoneType]
36	10	Create	Table	[Google].[StagedGroupMembership]
37	11	Create	Table	[Google].[GroupEmail]
38	12	Create	Table	[Google].[GroupMembershipGroup]
39	13	Create	Table	[Google].[User]
40	14	Create	Table	[Google].[GroupMembershipUser]
41	15	Create	Table	[Google].[UserAddress]
42	16	Create	Table	[Google].[UserEmail]
43	17	Create	Table	[Google].[UserExternalIdentifier]
44	18	Create	Table	[Google].[UserLanguage]
45	19	Create	Table	[Google].[UserOrganization]
46	20	Create	Table	[Google].[UserPhone]
47	21	Create	Function	[Google].[GetDigitsOnly]
48	22	Create	Function	[Google].[GetE164PhoneNumber]
49	23	Create	Procedure	[Google].[ImportGroup]
50	24	Create	Procedure	[Google].[ImportOrganizationalUnit]
51	25	Create	Procedure	[Google].[ProcessGroupMembershipChanges]
52	26	Create	Procedure	[Google].[ImportUser]
