Sequence	Order	Mode	Type	Name
1	1	Drop	Function	[Google].[GetE164PhoneNumber]
2	2	Drop	Function	[Google].[GetDigitsOnly]
3	3	Drop	Procedure	[Google].[ProcessGroupMembershipChanges]
4	4	Drop	Procedure	[Google].[ImportUser]
5	5	Drop	Procedure	[Google].[ImportOrganizationalUnit]
6	6	Drop	Procedure	[Google].[ImportGroup]
7	7	Drop	Table	[Google].[UserPhone]
8	8	Drop	Table	[Google].[UserOrganization]
9	9	Drop	Table	[Google].[UserLanguage]
10	10	Drop	Table	[Google].[UserExternalIdentifier]
11	11	Drop	Table	[Google].[UserEmail]
12	12	Drop	Table	[Google].[UserAddress]
13	13	Drop	Table	[Google].[GroupMembershipUser]
14	14	Drop	Table	[Google].[User]
15	15	Drop	Table	[Google].[GroupMembershipGroup]
16	16	Drop	Table	[Google].[GroupEmail]
17	17	Drop	Table	[Google].[StagedGroupMembership]
18	18	Drop	Table	[Google].[PhoneType]
19	19	Drop	Table	[Google].[OrganizationType]
20	20	Drop	Table	[Google].[OrganizationalUnit]
21	21	Drop	Table	[Google].[Language]
22	22	Drop	Table	[Google].[GroupMemberRole]
23	23	Drop	Table	[Google].[Group]
24	24	Drop	Table	[Google].[ExternalIdentifierType]
25	25	Drop	Table	[Google].[EmailType]
26	26	Drop	Table	[Google].[AddressType]
27	27	Drop	Schema	[Google]
28	1	Create	Schema	[Google]
29	2	Create	Table	[Google].[AddressType]
30	3	Create	Table	[Google].[EmailType]
31	4	Create	Table	[Google].[ExternalIdentifierType]
32	5	Create	Table	[Google].[Group]
33	6	Create	Table	[Google].[GroupMemberRole]
34	7	Create	Table	[Google].[Language]
35	8	Create	Table	[Google].[OrganizationalUnit]
36	9	Create	Table	[Google].[OrganizationType]
37	10	Create	Table	[Google].[PhoneType]
38	11	Create	Table	[Google].[StagedGroupMembership]
39	12	Create	Table	[Google].[GroupEmail]
40	13	Create	Table	[Google].[GroupMembershipGroup]
41	14	Create	Table	[Google].[User]
42	15	Create	Table	[Google].[GroupMembershipUser]
43	16	Create	Table	[Google].[UserAddress]
44	17	Create	Table	[Google].[UserEmail]
45	18	Create	Table	[Google].[UserExternalIdentifier]
46	19	Create	Table	[Google].[UserLanguage]
47	20	Create	Table	[Google].[UserOrganization]
48	21	Create	Table	[Google].[UserPhone]
49	22	Create	Procedure	[Google].[ImportGroup]
50	23	Create	Procedure	[Google].[ImportOrganizationalUnit]
51	24	Create	Procedure	[Google].[ImportUser]
52	25	Create	Procedure	[Google].[ProcessGroupMembershipChanges]
53	26	Create	Function	[Google].[GetDigitsOnly]
54	27	Create	Function	[Google].[GetE164PhoneNumber]
